cname,sname,cont,body,fwater,imgurl
Snapper (Squirefish),Pagrus auratus,6,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_squire.png
"Snapper, African Red",Lutjanus agennes,3,2,b,https://www.igfa.org/Images/SpeciesID_Images/snapper_african_red.png
"Snapper, Cubera",Lutjanus cyanopterus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_cubera.png
"Snapper, Grey",Lutjanus griseus,1 2,2,n,"https://www.igfa.org/Images/SpeciesID_Images/BWSnapper,%20grey.png"
"Snapper, Mullet",Lutjanus aratus,1 2,3,n,"https://www.igfa.org/Images/SpeciesID_Images/BWSnapper,%20mullet.png"
"Snapper, Mutton",Lutjanus analis,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_mutton.png
"Snapper, Pacific Cubera",Lutjanus novemfasciatus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_cubera.png
"Snapper, Papuan Black",Lutjanus goldiei,6,2,b,"https://www.igfa.org/Images/SpeciesID_Images/BWSnapper,%20Papuan%20black.png"
"Snapper, Red",Lutjanus campechanus,1,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_red.png
"Snapper, Yellowtail",Ocyurus chrysurus,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/snapper_yellowtail.png
"Snook, Atlantic",Centropomus spp.,1,3,b,https://www.igfa.org/Images/SpeciesID_Images/snook_Atlantic.png
Sorubim,Pseudoplatystoma spp.,2,1,y,https://www.igfa.org/Images/SpeciesID_Images/BWSorubim.png
"Spadefish, Atlantic",Chaetodipterus faber,1 2,2,n,https://www.igfa.org/Images/SpeciesID_Images/spadefish_atlantic.png
"Spearfish, Atlantic",Tetrapturus spp.,1 4,5,n,https://www.igfa.org/Images/SpeciesID_Images/spearfish_longbill.png
"Spearfish, Shortbill",Tetrapturus angustirostris,1 4,5,n,"https://www.igfa.org/Images/SpeciesID_Images/BWSpearfish,%20shortbill.png"
Splake,Salvelinus namaycush x S. fontinalis,1,3,y,https://www.igfa.org/Images/SpeciesID_Images/splake.png
Sturgeon,Acipenseridae family,1 4 5,3,b,https://www.igfa.org/Images/SpeciesID_Images/BWSturgeon.png
"Sunfish, Green",Lepomis cyanellus,1 4,2,y,"https://www.igfa.org/Images/SpeciesID_Images/BWSunfish,%20green.png"
"Sunfish, Redbreast",Lepomis auritus,1,2,y,"https://www.igfa.org/Images/SpeciesID_Images/BWSunfish,%20redbreast.png"
"Sunfish, Redear",Lepomis microlophus,1,2,y,"https://www.igfa.org/Images/SpeciesID_Images/BWSunfish,%20readear.png"
Swordfish,Xiphias gladius,1 2 3 4 5 6,5,n,https://www.igfa.org/Images/SpeciesID_Images/swordfish.png
Taimen,Hucho taimen,4,3,y,https://www.igfa.org/Images/SpeciesID_Images/taimen.png
Tambaqui,Colossoma macropomum,1 2,2,b,https://www.igfa.org/Images/SpeciesID_Images/BWTambaqui.png
Tarpon,Megalops atlanticus,1 4,3,n,https://www.igfa.org/Images/SpeciesID_Images/tarpon.png
"Tarpon, Oxeye",Megalops cyprinoides,3 5 6,3,b,"https://www.igfa.org/Images/SpeciesID_Images/BWTarpon,%20oxeye.png"
Tautog,Tautoga onitis,1,2,n,https://www.igfa.org/Images/SpeciesID_Images/tautog.png
Tench,Tinca tinca,1 4 5 6,2,y,https://www.igfa.org/Images/SpeciesID_Images/BWTench.png
"Threadfin, Giant African",Polydactylus quadrifilis,3,3,y,https://www.igfa.org/Images/SpeciesID_Images/threadfin.png
"Threadfin, King",Polydactylus macrochir,6,3,b,https://www.igfa.org/Images/SpeciesID_Images/threadfin.png
Tigerfish,Hydrocynus vittatus,3,3,y,https://www.igfa.org/Images/SpeciesID_Images/tigerfish.png
"Tigerfish, Giant",Hydrocynus goliath,3,3,y,https://www.igfa.org/Images/SpeciesID_Images/tigerfish_giant.png
Trahira,Hoplias spp.,2,3,y,https://www.igfa.org/Images/SpeciesID_Images/BWTrahira.png
